DsDsT15 1.2309e-11 5.44561e-12 1.77501e-11 8.68912e-12 1.69272e-11 1.16256e-11 1.49953e-11 1.30723e-11 1.31451e-11 1.46525e-11 1.12192e-11 1.59483e-11 8.55556e-12 1.59116e-11 4.77474e-12 1.21647e-11
DsDsT15 1.36015e-11 5.0117e-12 1.7842e-11 8.94157e-12 1.62818e-11 1.1757e-11 1.39538e-11 1.35589e-11 1.29861e-11 1.54844e-11 1.10072e-11 1.69414e-11 8.47895e-12 1.72337e-11 4.6793e-12 1.29364e-11
DsDsT15 1.32409e-11 5.22593e-12 1.83471e-11 8.39013e-12 1.66964e-11 1.0399e-11 1.575e-11 1.27118e-11 1.35308e-11 1.48681e-11 1.17479e-11 1.71219e-11 9.52708e-12 1.86483e-11 5.79675e-12 1.47099e-11
DsDsT15 1.12267e-11 6.29211e-12 1.56546e-11 9.32348e-12 1.38041e-11 1.1781e-11 1.28577e-11 1.41944e-11 1.27126e-11 1.55225e-11 1.10216e-11 1.64563e-11 8.59568e-12 1.64921e-11 4.40641e-12 1.24578e-11
DsDsT15 1.31862e-11 6.14971e-12 1.64e-11 9.8412e-12 1.58932e-11 1.17004e-11 1.52187e-11 1.33575e-11 1.41319e-11 1.50835e-11 1.13412e-11 1.62771e-11 9.12449e-12 1.73508e-11 5.1078e-12 1.34252e-11
DsDsT15 1.24849e-11 7.2998e-12 1.62449e-11 1.11895e-11 1.58934e-11 1.22825e-11 1.39225e-11 1.32055e-11 1.27727e-11 1.49282e-11 1.09358e-11 1.63526e-11 9.04367e-12 1.7048e-11 4.96555e-12 1.30476e-11
DsDsT15 1.32915e-11 4.50514e-12 1.72202e-11 9.34061e-12 1.68631e-11 1.1154e-11 1.57546e-11 1.22986e-11 1.43097e-11 1.39692e-11 1.20365e-11 1.51844e-11 9.29132e-12 1.57401e-11 5.30018e-12 1.1876e-11
DsDsT15 1.34747e-11 5.25071e-12 1.87518e-11 8.97814e-12 1.81314e-11 1.06969e-11 1.58124e-11 1.30424e-11 1.31463e-11 1.56264e-11 1.10207e-11 1.7395e-11 8.55223e-12 1.83733e-11 4.61311e-12 1.35061e-11
DsDsT15 1.32205e-11 5.90745e-12 1.78913e-11 8.73431e-12 1.78822e-11 1.10361e-11 1.60183e-11 1.26466e-11 1.41581e-11 1.41472e-11 1.28308e-11 1.45857e-11 1.07819e-11 1.51233e-11 5.95304e-12 1.21129e-11
DsDsT15 1.26337e-11 5.36436e-12 1.71183e-11 1.00202e-11 1.6178e-11 1.12591e-11 1.48441e-11 1.30286e-11 1.33316e-11 1.45829e-11 1.19716e-11 1.65384e-11 9.41377e-12 1.66976e-11 4.87198e-12 1.31762e-11
